product_id,Column1,type,category , sub_category
P0000,product (brand),Indian & Exotic Herbs,Fruits & Vegetables , Herbs & Seasonings
P0001,"	serum	 (Livon)",Hair Oil & Serum,Beauty & Hygiene , Hair Care
P0002,"hand wash -	 moisture Shield (Savlon)",Hand Wash & Sanitizers,Beauty & Hygiene , Bath & Hand Wash
P0004,"good 		day butter Cookies (Britannia)",Cookies,Snacks & Branded Foods , Biscuits & Cookies
P0005,"Happy 		Happy Choco-Chip Cookies (Parle)",Glucose & Milk Biscuits,Snacks & Branded Foods , Biscuits & Cookies
P0006, 50-50 Timepass salted biscuits (Britannia),Salted Biscuits,Snacks & Branded Foods , Biscuits & Cookies
P0007, tiger Elaichi Cream Biscuits (Britannia),Glucose & Milk Biscuits,Snacks & Branded Foods , Biscuits & Cookies
P0008,"bounce 	Biscuits - Choco Creme (Sunfeast)",Cream Biscuits & Wafers,Snacks & Branded Foods , Biscuits & Cookies
P0009,50-50 Timepass Biscuits (Britannia),Salted Biscuits,Snacks & Branded Foods , Biscuits & Cookies
P0010,Tiger Chocolate Cream Biscuits (Britannia),Cream Biscuits & Wafers,Snacks & Branded Foods , Biscuits & Cookies
P0011,Biscuits - Magix Kreams Choc (Parle),Cream Biscuits & Wafers,Snacks & Branded Foods , Biscuits & Cookies
P0012,Dreams Cup Cake - Choco (Elite),Muffins & Cup Cakes,"Bakery, Cakes & Dairy ", Cakes & Pastries
P0013,Layer Cake - Chocolate (Winkies),Tea Cakes & Slice Cakes,"Bakery, Cakes & Dairy ", Cakes & Pastries
P0014,Layer Cake - Orange (Winkies),Tea Cakes & Slice Cakes,"Bakery, Cakes & Dairy ", Cakes & Pastries
P0015,Sugar Coated Chocolate (Cadbury Gems),Chocolates,Snacks & Branded Foods , Chocolates & Candies
P0016,Cadbury Perk - Chocolate Bar (Cadbury),Chocolates,Snacks & Branded Foods , Chocolates & Candies
P0017,Polo - The Mint With The Hole (Nestle ),"Toffee, Candy & Lollypop",Snacks & Branded Foods , Chocolates & Candies
P0018,Orbit Sugar-Free Chewing Gum - Lemon & Lime (Wrigleys),Mints & Chewing Gum,Snacks & Branded Foods , Chocolates & Candies
P0019,Sugar Free Chewing Gum - Mixed Fruit (Orbit),Mints & Chewing Gum,Snacks & Branded Foods , Chocolates & Candies
P0020,Chewing Gum - Peppermint (Doublemint),Mints & Chewing Gum,Snacks & Branded Foods , Chocolates & Candies
P0021,"Tomato - Local, Organically Grown (Fresho)",Organic Vegetables,Fruits & Vegetables , Fresh Vegetables
P0022,Marie Light Biscuits - Active (Sunfeast),Organic Vegetables,Fruits & Vegetables , Organic Fruits & Vegetables
P0023,Fulltoss Thai Sriracha (Parle),Breakfast & Snack Mixes,Snacks & Branded Foods , Ready To Cook & Eat
P0024,Fulltoss Tangy Tomato (Parle),Nachos & Chips,Gourmet & World Food ," Snacks, Dry Fruits, Nuts"
P0025,Exam Standard Scale (Camlin),Nachos & Chips,Gourmet & World Food ," Snacks, Dry Fruits, Nuts"
P0026,Dish Shine Bar (Exo),Exam Pads & Pencil Box,Cleaning & Household , Stationery
P0027,Marigold Flower - Orange (Fresho),Dishwash Bars & Powders,Cleaning & Household , Detergents & Dishwash
P0028,Tomato - Green (Fresho),Marigold,Fruits & Vegetables ," Flower Bouquets, Bunches"
P0029,"Chilli - Green, Organically Grown (Fresho)","Potato, Onion & Tomato",Fruits & Vegetables , Fresh Vegetables
P0030,Ginger - Organically Grown (Fresho),Organic Vegetables,Fruits & Vegetables , Herbs & Seasonings
P0031,Blue Detergent Bar (Wheel ),Organic Vegetables,Fruits & Vegetables , Herbs & Seasonings
P0032,"Tomato - Hybrid, Organically Grown (Fresho)",Organic Vegetables,Fruits & Vegetables , Organic Fruits & Vegetables
P0033,Crackers - Cheese & Sugar (Gery Gone Mad),Organic Vegetables,Fruits & Vegetables , Organic Fruits & Vegetables
P0035,Munch Crisp-Pop Chocolate Coated Crunchy Wafer (Nestle ),Detergent Bars,Cleaning & Household , Detergents & Dishwash
P0036,Herbal Apple Massage Cream (Olivia),Organic Vegetables,Fruits & Vegetables , Fresh Vegetables
P0037,Milk Shakti Biscuits - With The Goodness Of Milk (Parle),Organic Vegetables,Fruits & Vegetables , Organic Fruits & Vegetables
P0038,Roll Yo! Strawberry Swiss Roll (Britannia),Crackers & Digestive,Gourmet & World Food , Chocolates & Biscuits
P0039,"Mint - Sugarfree, Fruity Flavour (Center Fresh)",Chocolates,Snacks & Branded Foods , Chocolates & Candies
P0040,Tomato - Local (Fresho),Body Care,Beauty & Hygiene , Skin Care
P0041,Mint Leaves (Fresho),Glucose & Milk Biscuits,Snacks & Branded Foods , Biscuits & Cookies
P0042,Fruit Salt - Lemon Flavor (Eno ),Tea Cakes & Slice Cakes,"Bakery, Cakes & Dairy ", Cakes & Pastries
P0043,Instant Popcorn - BBQ (4700BC),"Toffee, Candy & Lollypop",Snacks & Branded Foods , Chocolates & Candies
P0044,Instant Popcorn - Butter (4700BC),"Potato, Onion & Tomato",Fruits & Vegetables , Fresh Vegetables
P0045,Instant Popcorn - Seven Spices (4700BC),Leafy Vegetables,Fruits & Vegetables , Fresh Vegetables
P0046,Instant Popcorn - Natural Healthy (4700BC),Everyday Medicine,Beauty & Hygiene , Health & Medicine
P0047,Drinking Water With Added Minerals (Kinley),Gourmet Popcorn,Gourmet & World Food ," Snacks, Dry Fruits, Nuts"
P0048,50-50 Jeera Masti Biscuits (Britannia),Gourmet Popcorn,Gourmet & World Food ," Snacks, Dry Fruits, Nuts"
P0049,Puliogare Masala Powder (Eastern),Gourmet Popcorn,Gourmet & World Food ," Snacks, Dry Fruits, Nuts"
P0050,Secret Hot & Sour Instant Soup (Chings),Gourmet Popcorn,Gourmet & World Food ," Snacks, Dry Fruits, Nuts"
P0051,Instant Popcorn - Chilly Surprise (ACT II),Packaged Water,Beverages , Water
P0053,Salt/Uppu - Iodised (Aashirvaad),Salted Biscuits,Snacks & Branded Foods , Biscuits & Cookies
P0054,Butter Milk - Spiced (Nandini),Blended Masalas,"Foodgrains, Oil & Masala ", Masalas & Spices
P0055,Soap Bar - Care (Lifebuoy),Soups,Snacks & Branded Foods , Ready To Cook & Eat
P0056,Lime Bath Soap - 99.9% Germ Protection (Cinthol),Chips & Corn Snacks,Snacks & Branded Foods , Snacks & Namkeen
P0057,Fresh Splash Water Lily & Cooling Mint Soap Bar (Lux),Salts,"Foodgrains, Oil & Masala "," Salt, Sugar & Jaggery"
P0058,Jasmine Bloom Soap Bar (Lux),Buttermilk & Lassi,"Bakery, Cakes & Dairy ", Dairy
P0059,50-50 Maska Chaska Salted Biscuits (Britannia),Bathing Bars & Soaps,Beauty & Hygiene , Bath & Hand Wash
P0060,Biscuits - Monaco Salted Snack (Parle),Bathing Bars & Soaps,Beauty & Hygiene , Bath & Hand Wash
P0061,Biscuits - Googly (Bisk Farm),Bathing Bars & Soaps,Beauty & Hygiene , Bath & Hand Wash
P0062,Marie Light Oats Biscuits (Sunfeast),Bathing Bars & Soaps,Beauty & Hygiene , Bath & Hand Wash
P0063,Cheese Cracker (Mcvities),Salted Biscuits,Snacks & Branded Foods , Biscuits & Cookies
P0064,Bounce Biscuits - Pineapple Creme (Sunfeast),Salted Biscuits,Snacks & Branded Foods , Biscuits & Cookies
P0065,Veda Marie Light Biscuits (Sunfeast),Cookies,Snacks & Branded Foods , Biscuits & Cookies
P0066,Thinz - Almond (Bisk Farm),"Marie, Health, Digestive",Snacks & Branded Foods , Biscuits & Cookies
P0067,Dream Cream - Choco Vanilla Cream Biscuit - Cookie (Sunfeast),"Marie, Health, Digestive",Snacks & Branded Foods , Biscuits & Cookies
P0068,Good Day Butter Cookies (Britannia),Salted Biscuits,Snacks & Branded Foods , Biscuits & Cookies
