order_id (unique),product_id,store_id,order_date_2,sales,revenue,stock,price,promo_type_1,promo_type_2,,,,
1,P0258,S0008,02-Jan-17,0,0,5,6.5,PR14,PR03,,,,
2,P0348,S0110,02-Jan-17,0,0,9,2.1,PR05,PR03,,,,
3,P0219,S0026,02-Jan-17,5,33.56,3,7.25,PR14,PR03,,,,
4,P0218,S0051,02-Jan-17,0,0,1,59.9,PR05,PR03,,,,
5,P0660,S0056,02-Jan-17,1,4.58,5,4.95,PR14,PR03,,,,
6,P0695,S0023,02-Jan-17,0,0,33,4.85,PR14,PR03,,,,
7,P0695,S0132,02-Jan-17,0,0,3,4.85,PR14,PR03,,,,
8,P0296,S0004,02-Jan-17,0,0,36,0.75,PR14,PR03,,,,
9,P0287,S0123,02-Jan-17,0,0,10,7.5,PR05,PR03,,,,
10,P0114,S0137,02-Jan-17,2,0.83,12,0.45,PR14,PR03,,,,
11,P0241,S0097,02-Jan-17,0,0,11,12.95,PR05,PR03,,,,
12,P0165,S0102,02-Jan-17,1,1.3,16,1.4,PR14,PR03,,,,
13,P0327,S0063,02-Jan-17,0,0,12,1.95,PR07,PR03,,,,
14,P0436,S0021,02-Jan-17,1,2.78,19,3,PR14,PR03,,,,
15,P0131,S0091,02-Jan-17,0,0,26,2.25,PR14,PR03,,,,
16,P0171,S0094,02-Jan-17,0,0,7,9.85,PR14,PR03,,,,
17,P0035,S0023,02-Jan-17,2,4.54,49,2.45,PR14,PR03,,,,
18,P0402,S0056,02-Jan-17,0,0,6,7.75,PR14,PR03,,,,
19,P0438,S0015,02-Jan-17,5,1.16,78,0.25,PR14,PR03,,,,
20,P0453,S0056,02-Jan-17,0,0,36,5.25,PR14,PR03,,,,
21,P0252,S0096,02-Jan-17,0,0,1,14.99,PR14,PR03,,,,
22,P0249,S0078,02-Jan-17,0,0,4,1.9,PR14,PR03,,,,
23,P0219,S0040,02-Jan-17,0,0,13,7.25,PR14,PR03,,,,
24,P0333,S0083,02-Jan-17,0,0,9,1.85,PR14,PR03,,,,
25,P0055,S0051,02-Jan-17,0,0,21,3.5,PR05,PR03,,,,
26,,,,,,,,,,,,,
27,P0345,S0126,02-Jan-17,0,0,6,3.15,PR06,PR03,,,,
28,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
29,P0160,S0126,02-Jan-17,0,0,48,2.5,PR14,PR03,,,,
30,P0054,S0122,02-Jan-17,0,0,4,3.95,PR14,PR03,,,,
31,P0060,S0018,02-Jan-17,0,0,5,15.9,PR14,PR03,,,,
32,P0089,S0097,02-Jan-17,0,0,14,5.99,PR14,PR03,,,,
33,P0057,S0009,02-Jan-17,0,0,1,12.9,PR14,PR03,,,,
34,P0664,S0015,02-Jan-17,0,0,30,1.25,PR14,PR03,,,,
35,P0689,S0119,02-Jan-17,0,0,3,28.9,PR10,PR03,,,,
36,P0726,S0045,02-Jan-17,0,0,16,1,PR14,PR03,,,,
37,P0427,S0116,02-Jan-17,0,0,29,2.45,PR06,PR03,,,,
38,P0664,S0014,02-Jan-17,1,1.16,14,1.25,PR14,PR03,,,,
39,P0406,S0138,02-Jan-17,0,0,2,9.95,PR14,PR03,,,,
40,P0499,S0013,02-Jan-17,1,0.69,23,0.75,PR14,PR03,,,,
41,P0664,S0130,02-Jan-17,0,0,16,1.25,PR14,PR03,,,,
42,P0665,S0088,02-Jan-17,0,0,5,10.75,PR14,PR03,,,,
43,P0286,S0070,02-Jan-17,0,0,22,1,PR14,PR03,,,,
44,P0456,S0056,02-Jan-17,0,0,7,31.9,PR14,PR03,,,,
45,P0747,S0070,02-Jan-17,0,0,4,11.95,PR14,PR03,,,,
46,P0527,S0110,02-Jan-17,0,0,15,1.95,PR14,PR03,,,,
47,P0673,S0139,02-Jan-17,0,0,6,8.95,PR14,PR03,,,,
48,P0336,S0123,02-Jan-17,0,0,3,21.5,PR14,PR03,,,,
49,P0283,S0025,03-Jan-17,0,0,10,21.5,PR14,PR03,,,,
50,P0740,S0043,03-Jan-17,0,0,4,9.9,PR14,PR03,,,,
